Date,XLU_Open,XLU_High,XLU_Low,XLU_Close,XLU_Volume,XLU_ATRPercentOfClose20,XLU_SQN25,XLU_SQN50,XLU_SQN100,XLU_SQN200,XLU_MACD,XLU_MACD_Avg,XLU_MACD_Diff,XLU_LinReg10,XLU_LinReg30,XLU_LinReg90,XLU_LinReg270
4/12/2017, 51.4, 51.88, 51.24, 51.85, 10520961, 1.02641544937696, 0.776878089210478, 1.05232029923611, 0, 0, 0.210242594745921, 0.251810930961044, -0.0415683362151232, 51.7056363636357, 51.6184731182798, 52.2196378269618, 52.2196378269618
4/13/2017, 51.91, 51.92, 51.45, 51.68, 10856111, 1.02377436141032, 0.737743769099424, 1.41261975925379, 0, 0, 0.20637734843578, 0.242724214455991, -0.0363468660202117, 51.7029090909085, 51.6706021505379, 52.2471244131456, 52.2471244131456
4/17/2017, 51.8, 51.93, 51.66, 51.91, 7272573, 0.994282913654427, 0.627029608680337, 1.30765593858582, 0, 0, 0.219344721287534, 0.2380483158223, -0.0187035945347658, 51.7885454545449, 51.7412473118282, 52.2854147640792, 52.2854147640792
4/18/2017, 51.99, 52.14, 51.83, 52.03, 14707362, 0.972180756206251, 0.606896690027513, 1.33012579799171, 0, 0, 0.236577338521393, 0.237754120362118, -0.00117678184072575, 51.8809090909085, 51.8179354838712, 52.3279526101444, 52.3279526101444
4/19/2017, 51.97, 51.99, 51.49, 51.67, 12517048, 0.982261205886214, 0.398178415878145, 1.21273563952794, 0, 0, 0.218664690046253, 0.233936234298945, -0.015271544252692, 51.8410909090904, 51.8430107526884, 52.3490594594595, 52.3490594594595
4/20/2017, 51.61, 51.61, 51.1, 51.47, 13482336, 0.992146195506773, -0.281324939550372, 1.07583324999557, 0, 0, 0.186184242493972, 0.224385835937951, -0.0382015934439785, 51.7787272727267, 51.7915698924734, 52.3583684210526, 52.3583684210526
4/21/2017, 51.4, 51.95, 51.4, 51.73, 13259067, 0.990962235619504, 0.33773205725324, 0.990432389656172, 0, 0, 0.179355581391832, 0.215379785028727, -0.0360242036368953, 51.795454545454, 51.7604946236562, 52.3803110047847, 52.3803110047847
4/24/2017, 51.78, 52.06, 51.43, 52, 18106693, 0.997102935118599, 0.599409640079019, 1.29961046187834, 0, 0, 0.19350001407372, 0.211003830837726, -0.0175038167640055, 51.855454545454, 51.7840000000003, 52.4146753246753, 52.4146753246753
4/25/2017, 51.85, 52.01, 51.64, 51.93, 10891641, 0.98414952811205, 0.830434932305818, 1.14137924041786, 0, 0, 0.196792660601432, 0.208161596790467, -0.0113689361890353, 51.8765454545449, 51.8019139784949, 52.4436546575787, 52.4436546575787
4/26/2017, 51.92, 52.16, 51.72, 51.77, 9597402, 0.980327230927483, 0.159486844939452, 0.970774865283294, 0, 0, 0.184366185253033, 0.20340251448298, -0.019036329229947, 51.8143636363631, 51.7909032258067, 52.463082278481, 52.463082278481
