Date,XRT_Open,XRT_High,XRT_Low,XRT_Close,XRT_Volume,XRT_ATRPercentOfClose20,XRT_SQN25,XRT_SQN50,XRT_SQN100,XRT_SQN200,XRT_MACD,XRT_MACD_Avg,XRT_MACD_Diff,XRT_LinReg10,XRT_LinReg30,XRT_LinReg90,XRT_LinReg270
5/30/2017, 40.75, 40.97, 40.69, 40.75, 3566019, 1.55944520029819, -1.04948935034413, -0.480892769846915, -0.874992436086918, 0, -0.54091734215698, -0.379113338816794, -0.161804003340186, 40.5761818181821, 40.9513763440857, 41.6770525030525, 41.5443460879498
5/31/2017, 40.85, 40.94, 40.14, 40.74, 3178092, 1.58002018450034, -1.0362484502406, -0.293199190995454, -0.663681781692416, 0, -0.539285218894705, -0.411147714832376, -0.128137504062328, 40.6785454545457, 40.7408602150534, 41.6206910866911, 41.4916803584765
6/1/2017, 40.72, 41.66, 40.55, 41.64, 6632498, 1.60186170030539, -0.747526511118974, 0.251645872778237, -0.385784976100358, 0, -0.460065917547965, -0.420931355375494, -0.039134562172471, 40.9743636363639, 40.6704946236556, 41.5976410256411, 41.4749945054945
6/2/2017, 41.6, 41.71, 41.16, 41.3, 3136809, 1.60088244892689, -0.861083553038257, 0.164062982464464, -0.481889531707704, 0, -0.419879104042138, -0.420720905108823, 0.000841801066684467, 41.129272727273, 40.6147526881717, 41.5734432234432, 41.4461958670261
6/5/2017, 41.26, 41.38, 40.98, 41.29, 2370482, 1.56964453581126, -0.653389369677911, 0.0637892499320623, -0.593325472076165, 0, -0.384406482588382, -0.413458020604735, 0.0290515380163527, 41.2607272727275, 40.5481290322577, 41.5545225885226, 41.4180708869688
6/6/2017, 40.92, 41.2, 40.31, 40.39, 6940275, 1.64570665361387, -0.969065468803508, -0.176543687882947, -0.722318933581813, 0, -0.424028713841544, -0.415572159252097, -0.00845655458944738, 41.133272727273, 40.3949677419351, 41.4858925518926, 41.3577829698858
6/7/2017, 40.45, 40.61, 40.32, 40.55, 2174825, 1.59301078057931, -1.08805554382403, -0.18179942818101, -0.669890453197799, 0, -0.437476003696979, -0.419952928141073, -0.0175230755559058, 40.959272727273, 40.2772473118276, 41.4134774114774, 41.305377166157
6/8/2017, 40.81, 40.98, 40.45, 40.46, 3595242, 1.58222337604712, -1.01458820418762, -0.345296266032781, -0.697969458671665, 0, -0.45020563530796, -0.42600346957445, -0.0242021657335091, 40.7241818181821, 40.1926236559136, 41.3418070818071, 41.2514845704754
6/9/2017, 40.55, 41.11, 40.39, 41.04, 3952469, 1.5695886916453, -0.648081080294475, -0.418354635453004, -0.636860908627189, 0, -0.408780638589406, -0.422558903377441, 0.013778264788036, 40.7681818181821, 40.197397849462, 41.3054481074481, 41.2202014742015
6/12/2017, 40.94, 41.6, 40.94, 41.15, 6653696, 1.56731771348401, -0.871927859827018, -0.398911699385745, -0.604660758547081, 0, -0.362891759239098, -0.410625474549773, 0.0477337153106751, 40.8396363636366, 40.1944731182792, 41.2661465201466, 41.1939124839125
6/13/2017, 41.31, 41.47, 40.85, 41.26, 3604986, 1.56011555294168, -0.773161133312634, -0.261152366094809, -0.425032458878454, 0, -0.314028486138554, -0.391306076867529, 0.0772775907289752, 40.9170909090912, 40.2148602150534, 41.2315140415141, 41.1724194058154
