Date,FXY_Open,FXY_High,FXY_Low,FXY_Close,FXY_Volume,FXY_ATRPercentOfClose20,FXY_SQN25,FXY_SQN50,FXY_SQN100,FXY_SQN200,FXY_MACD,FXY_MACD_Avg,FXY_MACD_Diff,FXY_LinReg10,FXY_LinReg30,FXY_LinReg90,FXY_LinReg270
11/10/2017, 84.67, 84.77, 84.54, 84.58, 30510, 0.500780836293122, -0.472071458091857, -0.989709134345173, -0.453040932092969, 0.12645113033722, -0.313571324584615, -0.387799712222267, 0.0742283876376525, 84.4278181818158, 84.2220215053746, 85.0202783882784, 86.4576460977756
11/13/2017, 84.75, 84.75, 84.5, 84.53, 35966, 0.49081084794734, -0.558110234955064, -0.926204522787895, -0.48653374251697, -0.00608809621783945, -0.288735076299474, -0.367986785037709, 0.0792517087382345, 84.5605454545431, 84.1993978494606, 84.9132747252748, 86.4276052303861
11/14/2017, 84.57, 84.73, 84.55, 84.65, 65992, 0.477422668967976, -0.572279751364421, -1.44017622538738, -0.449928861001147, -0.0657474560676542, -0.25641339942311, -0.345672107914789, 0.0892587084916791, 84.6738181818158, 84.19098924731, 84.8083614163615, 86.4001958041959
11/15/2017, 85.08, 85.25, 84.84, 85.1, 31558, 0.486405845848792, -0.238908959064747, -1.07155345872116, -0.208539637209376, 0.0152619551044163, -0.192270622389771, -0.314991810809785, 0.122721188420015, 84.8652727272703, 84.2480430107508, 84.7264395604396, 86.3812975418859
11/16/2017, 84.99, 85.15, 84.92, 84.92, 26324, 0.476607166835205, -0.43229977384173, -1.45938722757117, -0.198895391411683, -0.0428809303637415, -0.154184166054392, -0.282830281858707, 0.128646115804314, 84.9541818181794, 84.2782365591379, 84.6473137973138, 86.3594643073568
11/17/2017, 85.42, 85.76, 85.36, 85.67, 283213, 0.497838293186219, -0.0981989673287844, -1.3483161371334, 0.008054874538651, 0.0389757518194441, -0.0627582054947027, -0.238815866585906, 0.176057661091203, 85.2509090909067, 84.4136129032239, 84.6003565323566, 86.3513252722615
11/20/2017, 85.49, 85.51, 85.17, 85.23, 82887, 0.504720359596388, -0.224902415767376, -1.13426560174833, -0.134837407189449, -0.0997493294771793, -0.0255127012898839, -0.196155233526702, 0.170642532236818, 85.3621818181794, 84.495182795697, 84.5447570207571, 86.335498809524
11/21/2017, 85.56, 85.59, 85.34, 85.38, 83927, 0.499724179386041, -0.124331711410133, -0.825452149774158, -0.014551855455689, -0.0213610432861556, 0.0159248042983933, -0.153739225961683, 0.169664030260076, 85.4554545454521, 84.6057634408582, 84.4954383394384, 86.3225573254672
11/22/2017, 85.83, 86.38, 85.83, 86.35, 194094, 0.527308950945931, 0.685462875695374, -0.201467910220028, 0.403506301594681, 0.0644207185832823, 0.125587524582102, -0.0978738758529258, 0.223461400435027, 85.8412727272703, 84.8399999999981, 84.4981196581197, 86.3268613309425
11/24/2017, 86.17, 86.21, 86.02, 86.03, 91643, 0.521986185266443, 0.358495205135411, -0.371962699713431, 0.286363617580356, 0.13320528377327, 0.184547347886067, -0.0413896311051272, 0.225936978991194, 86.0779999999975, 85.0352903225787, 84.4893504273505, 86.3254892186415
11/27/2017, 86.54, 86.6, 86.33, 86.44, 293240, 0.526505644869834, 1.05625252340907, -0.0897485547127145, 0.380568093173032, 0.187970902508665, 0.261344390669677, 0.0191571732498337, 0.242187217419844, 86.3583636363611, 85.2976989247292, 84.49736996337, 86.3312755688349
